full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
New York NY,New York,New York,0.05,-0.04,-0.17,-0.03,0.15,8124427,40.67,-73.94
Los Angeles CA,Los Angeles,California,0.09,-0.12,-0.06,-0.06,0.17,3911500,34.11,-118.41
Chicago IL,Chicago,Illinois,0.12,-0.1,-0.11,0.05,0.14,2830144,41.84,-87.68
Houston TX,Houston,Texas,0.04,-0.08,-0.04,-0.01,0.03,2043005,29.77,-95.39
Phoenix AZ,Phoenix,Arizona,-0.01,-0.03,0.02,0,0.03,1450884,33.54,-112.07
Philadelphia PA,Philadelphia,Pennsylvania,0.03,-0.02,-0.15,0.03,0.12,1439814,40.01,-75.13
San Diego CA,San Diego,California,0.06,-0.09,0.04,-0.03,0.08,1299352,32.81,-117.14
San Antonio TX,San Antonio,Texas,0.02,-0.05,0.01,-0.02,0.06,1278171,29.46,-98.51
Dallas TX,Dallas,Texas,0.08,-0.07,-0.02,-0.01,0.09,1216543,32.79,-96.77
San Jose CA,San Jose,California,-0.01,-0.04,0.02,-0.11,0.03,897883,37.3,-121.85
Detroit MI,Detroit,Michigan,0.13,-0.13,-0.18,0.09,0.06,871789,42.38,-83.1
Jacksonville FL,Jacksonville,Florida,0.01,-0.02,0.01,0.03,0.03,809874,30.33,-81.66
Columbus OH,Columbus,Ohio,0.02,-0.06,-0.03,0.02,0.02,741677,39.99,-82.99
San Francisco CA,San Francisco,California,0.05,-0.05,-0.04,-0.11,0.15,723724,37.77,-122.45
Austin TX,Austin,Texas,0.02,-0.05,0.03,-0.02,0.12,683404,30.31,-97.75
Memphis TN,Memphis,Tennessee,0.06,-0.09,-0.04,0.07,0.08,639736,35.11,-90.01
Fort Worth TX,Fort Worth,Texas,-0.03,-0.05,0.03,0.01,-0.01,633849,32.75,-97.34
Charlotte NC,Charlotte,North Carolina,0.07,0.01,-0.05,-0.03,-0,607111,35.2,-80.83
El Paso TX,El Paso,Texas,-0.02,-0.02,-0.06,0,0.11,603545,31.85,-106.44
Baltimore MD,Baltimore,Maryland,0.06,-0.07,-0.12,0.03,0.07,602658,39.3,-76.61
Milwaukee WI,Milwaukee,Wisconsin,0.01,-0.04,-0.06,-0.01,0,575250,43.06,-87.97
Seattle WA,Seattle,Washington,-0.04,0,0,-0.07,0.16,570430,47.62,-122.35
Boston MA,Boston,Massachusetts,0.09,-0.07,-0.11,0.02,0.12,567759,42.34,-71.02
Denver CO,Denver,Colorado,0.01,-0.08,0.01,0.02,0.08,556575,39.77,-104.87
Las Vegas NV,Las Vegas,Nevada,0.06,-0.06,0.03,-0,0.08,553807,36.21,-115.22
Portland OR,Portland,Oregon,-0.05,-0.02,0.04,-0,0.1,542751,45.54,-122.66
Oklahoma City OK,Oklahoma City,Oklahoma,-0.04,0.02,0.01,0.02,-0.01,538141,35.47,-97.51
Tucson AZ,Tucson,Arizona,-0.04,-0.03,0.06,0.01,0.06,525268,32.2,-110.89
Albuquerque NM,Albuquerque,New Mexico,-0.05,-0.01,0.04,0.04,0.12,494962,35.12,-106.62
Long Beach CA,Long Beach,California,0.08,-0.1,0.01,-0.08,0.19,486571,33.79,-118.16
Sacramento CA,Sacramento,California,-0,-0.04,0.02,-0.01,0.04,480392,38.57,-121.47
Fresno CA,Fresno,California,0,-0.04,0.05,-0.02,0.07,472517,36.78,-119.79
Mesa AZ,Mesa,Arizona,0.02,-0.04,0.14,0.02,-0.03,461167,33.42,-111.74
New Orleans LA,New Orleans,Louisiana,0.15,-0.11,-0.05,0.05,0.18,454207,30.07,-89.93
Virginia Beach VA,Virginia Beach,Virginia,0.05,-0,-0.01,-0.01,0.02,453884,36.74,-76.04
Cleveland OH,Cleveland,Ohio,0.05,-0.06,-0.12,0.06,0.08,443949,41.48,-81.68
Kansas City MO,Kansas City,Missouri,-0.04,-0.04,-0.02,0.01,0.05,441833,39.12,-94.55
Atlanta GA,Atlanta,Georgia,0.13,-0.16,-0.09,0.05,0.11,424096,33.76,-84.42
Omaha NE,Omaha,Nebraska,0.01,-0.01,0.03,0.03,-0.03,417809,41.26,-96.01
Oakland CA,Oakland,California,0.05,-0.08,-0.11,-0.09,0.19,393632,37.77,-122.22
Miami FL,Miami,Florida,0.15,-0.15,-0.07,0.01,0.19,386740,25.78,-80.21
Tulsa OK,Tulsa,Oklahoma,-0.01,-0.02,0.08,0.04,0.07,379833,36.13,-95.92
Colorado Springs CO,Colorado Springs,Colorado,-0.05,-0.05,0.07,0.02,0.04,375744,38.86,-104.76
Arlington TX,Arlington,Texas,-0.01,-0.05,0.03,-0.01,-0,374729,32.69,-97.13
Minneapolis MN,Minneapolis,Minnesota,-0.02,-0.05,0.01,-0.03,0.13,364726,44.96,-93.27
Wichita KS,Wichita,Kansas,-0.03,-0,0.04,-0.02,-0.08,356051,37.69,-97.34
Raleigh NC,Raleigh,North Carolina,0.02,-0.07,0.02,-0.03,0.07,350822,35.82,-78.66
Santa Ana CA,Santa Ana,California,-0.01,-0.05,-0.03,-0.06,0.05,344086,33.74,-117.88
Anaheim CA,Anaheim,California,-0.04,-0.04,0.01,-0.1,0.07,334909,33.84,-117.87
Tampa FL,Tampa,Florida,0.05,-0.04,-0.01,0.03,0.06,328578,27.96,-82.48
Pittsburgh PA,Pittsburgh,Pennsylvania,0,0.03,-0.1,0.02,0.01,316272,40.44,-79.98
Riverside CA,Riverside,California,-0,-0.05,0.04,0.01,0.09,306351,33.94,-117.4
Toledo OH,Toledo,Ohio,0.02,-0.01,-0.04,0.03,0.05,305292,41.66,-83.58
Aurora CO,Aurora,Colorado,-0,-0.02,0.03,0.01,0.02,304641,39.71,-104.73
Bakersfield CA,Bakersfield,California,-0.02,-0,0.03,0,-0.04,301775,35.36,-119
Cincinnati OH,Cincinnati,Ohio,0.01,-0.01,0.02,0.07,0.06,301561,39.14,-84.51
Stockton CA,Stockton,California,-0.01,-0.01,0,0.02,0.02,299188,37.97,-121.31
