full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long,extraversion_scaled,neuroticism_scaled,agreeableness_scaled,conscientiousness_scaled,openness_scaled,extraversion_percentile,neuroticism_percentile,agreeableness_percentile,conscientiousness_percentile,openness_percentile
New York NY,New York,New York,0.05,-0.04,-0.17,-0.03,0.15,8124427,40.67,-73.94,0.3333333333333335,-0.1250000000000001,-0.8139534883720931,-0.21739130434782605,0.6923076923076921,0.8837803320561941,0.19284802043422733,0.002554278416347382,0.17879948914431673,0.9731800766283525
Los Angeles CA,Los Angeles,California,0.09,-0.12,-0.06,-0.06,0.17,3911500,34.11,-118.41,0.6000000000000001,-0.625,-0.3023255813953488,-0.4782608695652174,0.7948717948717947,0.9719029374201787,0.011494252873563218,0.08556832694763729,0.04469987228607918,0.9885057471264368
Chicago IL,Chicago,Illinois,0.12,-0.1,-0.11,0.05,0.14,2830144,41.84,-87.68,0.8000000000000003,-0.5000000000000001,-0.5348837209302326,0.4782608695652173,0.641025641025641,0.9872286079182631,0.02681992337164751,0.0280970625798212,0.9169859514687101,0.966794380587484
Houston TX,Houston,Texas,0.04,-0.08,-0.04,-0.01,0.03,2043005,29.77,-95.39,0.26666666666666683,-0.3750000000000001,-0.2093023255813954,-0.04347826086956519,0.07692307692307687,0.8301404853128991,0.04342273307790549,0.140485312899106,0.3397190293742018,0.6564495530012772
Phoenix AZ,Phoenix,Arizona,-0.01,-0.03,0.02,0,0.03,1450884,33.54,-112.07,-0.06666666666666676,-0.0625,0.06976744186046502,0.04347826086956519,0.07692307692307687,0.367816091954023,0.2656449553001277,0.46360153256704983,0.46998722860791825,0.6564495530012772
Philadelphia PA,Philadelphia,Pennsylvania,0.03,-0.02,-0.15,0.03,0.12,1439814,40.01,-75.13,0.19999999999999996,0,-0.7209302325581395,0.30434782608695654,0.5384615384615383,0.7675606641123882,0.3397190293742018,0.008939974457215836,0.776500638569604,0.9425287356321839
San Diego CA,San Diego,California,0.06,-0.09,0.04,-0.03,0.08,1299352,32.81,-117.14,0.3999999999999999,-0.4375,0.16279069767441867,-0.21739130434782605,0.33333333333333326,0.9233716475095786,0.031928480204342274,0.6232439335887612,0.17879948914431673,0.8684546615581098
San Antonio TX,San Antonio,Texas,0.02,-0.05,0.01,-0.02,0.06,1278171,29.46,-98.51,0.1333333333333333,-0.1875,0.023255813953488413,-0.13043478260869568,0.23076923076923062,0.6730523627075351,0.13026819923371646,0.37420178799489145,0.2515964240102171,0.7994891443167306
Dallas TX,Dallas,Texas,0.08,-0.07,-0.02,-0.01,0.09,1216543,32.79,-96.77,0.5333333333333332,-0.3125000000000001,-0.11627906976744184,-0.04347826086956519,0.3846153846153846,0.9629629629629629,0.06385696040868455,0.20178799489144317,0.3397190293742018,0.8914431673052363
San Jose CA,San Jose,California,-0.01,-0.04,0.02,-0.11,0.03,897883,37.3,-121.85,-0.06666666666666676,-0.1250000000000001,0.06976744186046502,-0.9130434782608696,0.07692307692307687,0.367816091954023,0.19284802043422733,0.46360153256704983,0.001277139208173691,0.6564495530012772
Detroit MI,Detroit,Michigan,0.13,-0.13,-0.18,0.09,0.06,871789,42.38,-83.1,0.8666666666666669,-0.6875,-0.8604651162790697,0.8260869565217392,0.23076923076923062,0.9885057471264368,0.010217113665389528,0.001277139208173691,0.9923371647509579,0.7994891443167306
Jacksonville FL,Jacksonville,Florida,0.01,-0.02,0.01,0.03,0.03,809874,30.33,-81.66,0.06666666666666665,0,0.023255813953488413,0.30434782608695654,0.07692307692307687,0.5632183908045977,0.3397190293742018,0.37420178799489145,0.776500638569604,0.6564495530012772
Columbus OH,Columbus,Ohio,0.02,-0.06,-0.03,0.02,0.02,741677,39.99,-82.99,0.1333333333333333,-0.25,-0.16279069767441867,0.21739130434782616,0.02564102564102555,0.6730523627075351,0.09578544061302682,0.16219667943805874,0.6743295019157088,0.5951468710089399
San Francisco CA,San Francisco,California,0.05,-0.05,-0.04,-0.11,0.15,723724,37.77,-122.45,0.3333333333333335,-0.1875,-0.2093023255813954,-0.9130434782608696,0.6923076923076921,0.8837803320561941,0.13026819923371646,0.140485312899106,0.001277139208173691,0.9731800766283525
Austin TX,Austin,Texas,0.02,-0.05,0.03,-0.02,0.12,683404,30.31,-97.75,0.1333333333333333,-0.1875,0.11627906976744184,-0.13043478260869568,0.5384615384615383,0.6730523627075351,0.13026819923371646,0.5389527458492975,0.2515964240102171,0.9425287356321839
Memphis TN,Memphis,Tennessee,0.06,-0.09,-0.04,0.07,0.08,639736,35.11,-90.01,0.3999999999999999,-0.4375,-0.2093023255813954,0.6521739130434785,0.33333333333333326,0.9233716475095786,0.031928480204342274,0.140485312899106,0.9731800766283525,0.8684546615581098
Fort Worth TX,Fort Worth,Texas,-0.03,-0.05,0.03,0.01,-0.01,633849,32.75,-97.34,-0.19999999999999996,-0.1875,0.11627906976744184,0.1304347826086958,-0.1282051282051283,0.17879948914431673,0.13026819923371646,0.5389527458492975,0.5593869731800766,0.40229885057471265
Charlotte NC,Charlotte,North Carolina,0.07,0.01,-0.05,-0.03,-0,607111,35.2,-80.83,0.4666666666666668,0.1875,-0.2558139534883722,-0.21739130434782605,-0.07692307692307698,0.9501915708812261,0.5874840357598978,0.1111111111111111,0.17879948914431673,0.4661558109833972
El Paso TX,El Paso,Texas,-0.02,-0.02,-0.06,0,0.11,603545,31.85,-106.44,-0.1333333333333333,0,-0.3023255813953488,0.04347826086956519,0.487179487179487,0.2656449553001277,0.3397190293742018,0.08556832694763729,0.46998722860791825,0.9310344827586207
